Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
14-Feb-16,Alabama,Eutaw (Union),Earnest Friday Road,0,5,N/A
13-Feb-16,Louisiana,Marrero,5425 Lapalco Boulevard,0,4,N/A
7-Feb-16,Mississippi,Pass Christian,Davis Avenue,2,4,N/A
7-Feb-16,Florida,Orlando,7432 Universal Blvd,2,10,N/A
7-Feb-16,New York,Rochester,547 State St,1,7,N/A
7-Feb-16,Illinois,Chicago (Englewood),6500 block of South Green Street,0,4,N/A
6-Feb-16,California,Los Angeles,12800 block of Cook Street,1,3,N/A
6-Feb-16,Florida,Apopka,10th Street,0,4,N/A
6-Feb-16,Florida,Tampa,8123 N Nebraska Ave,2,6,N/A
3-Feb-16,District of Columbia,Washington,1500 block of Butler St. SE,0,4,N/A
30-Jan-16,Arizona,Glendale,67th and Missouri Avenue,3,5,N/A
27-Jan-16,Virginia,Chesapeake,1401 N. George Washington Hwy,6,0,N/A
26-Jan-16,Washington,Seattle,Airport Way S. and S. Atlantic St.,2,3,N/A
25-Jan-16,California,Perris,140 S. D Street,1,4,N/A
23-Jan-16,California,Los Angeles,8105 Avalon Blvd,2,2,N/A
17-Jan-16,Virginia,Ware Neck (Gloucester Courthouse),Ditchley Road and Gill Lane,1,3,N/A
11-Jan-16,Delaware,Wilmington,900 block of Brown Street,1,4,N/A
8-Jan-16,District of Columbia,Washington,1700 E Capitol St NE,0,4,N/A
8-Jan-16,Illinois,Chicago,1500 block of South Kedzie,1,4,N/A
7-Jan-16,Tennessee,Memphis,3800 block of Kerwood Avenue,1,3,N/A
6-Jan-16,Florida,Lakeland,2312 East Magnolia Street,3,1,N/A
